"字段1","字段2","字段3","字段4"
"【成都】成都相声大会——成都哈哈曲艺社少城店","时间：2019.11.30-12.29","场馆：成都市 | 哈哈曲艺社(少城店)","项目介绍 哈哈曲艺社 温馨提示：门票不含茶水 ,周三至周天演出内容为相声。演出地点：成都市青羊区东胜街40号（少城视井）客服热线：17323205450（400-882-2873）温馨提示：可乘坐地铁2号线至人民公园D1出口，步行230米到达；公交可乘坐126.127.163.340.51.62.70.93路，文博观光线、熊猫直通线、锦城观光线1号线到宽窄巷子站演出介绍牙尖爆笑，成都味道！成都娃儿些说相声，巴适滴板！成都“哈哈曲艺社牙尖相声大会”颠覆性的打造成都小剧场精品四川文化与北方曲艺文化的碰撞，用时下最新潮的语言，最流行的段子，最文艺的方式带您体验无与伦比的爆笑与欢乐。主力演员80、90后，每场节目都不尽相同，创意满满，打造最具成都特色的休闲娱乐方式。 曲艺社介绍 哈哈曲艺社由著名相声演员田海龙先生于2003年初创于哈尔滨工业大学，2009年成立成都哈哈曲艺社，是一家专注曲艺事业的团体，四川最正宗的相声传承之一。从2011年起创办“哈哈曲艺社牙尖相声大会”，继承传统文化中的精华，并结合四川所特有的历史文化积淀，让相声在四川慢慢壮大并长足发展。十年的持之以恒，今天的哈哈曲艺社已经是成都人休闲生活的一部分，是茶余饭后必选的娱乐方式之一。成都哈哈曲艺社，一支制造欢乐，执着梦想的团队！ 剧场介绍紧邻著名旅游景点宽窄巷子、人民公园；众多艺术文化工作者在此聚集，音乐、戏剧、表演、广播等各类文化竞相开放，古典与现代的融合，文化与文化的碰撞，成就了别具一格的少城文化乐园。"
"【成都】【Hi】汉服节，你来“HI”丨左手画龙右手画彩虹，一起玩转汉服DISCO","时间：2019.12.21 周六","场馆：成都市 | 扭糖酒吧","项目介绍 22:00之后前往指定区域畅玩，桌面超出酒水自费！汉服蹦迪 X，Are U Ready?2019-11-23汉服出行日 X 汉服蹦迪人生在世不称意,不如一起来蹦迪着我汉家衣裳，兴我礼仪之邦汉服不只是汉朝的服饰TA和汉语、汉字、汉人一样是汉文化的重要组成部份每年11月的第三个周末被同袍公选为一年一度的汉服节当电音Disco遇上汉服节11月23日【Hi】携手【扭糖】国风制燥轮番轰炸带你解锁蹦迪新姿势听古风韵律，蹦中国迪让同袍在传统与现代之间自由穿梭【没有好电音的蹦迪不是好party】国内派对炸场型DJ独特的音乐编排，超强的舞台感染力把舞池搅得及其疯狂让同袍的血液跟随着音乐一同燃尽情释放的快感之中【左手画龙，右手画彩虹】同袍穿上最酷的汉服装备秀出最帅的蹦迪姿势摇头、甩手、向上蹦疯狂有趣的互动游戏让大家甩掉烦恼，蹦出地球表面体会什么才是真正的放肆【这厢有礼，嗨翻整夜】愿你喝茶也喝酒，愿你能静也能动也许你有许多不如意但你不是孤身一人这里有同样爱好汉服的同袍陪你狂欢，陪你喝酒酒水畅饮，保你喝嗨更有豪华大礼等你来抽汉服潮流 良辰美景蹦迪的姿势千万种汉服节穿上汉服蹦中国人自己的迪你有汉服我有诗词书画DJ、音乐、舞池、酒水畅饮！对酒当歌，不嗨不归汉服出行日，等你来蹦迪地址成华区东郊记忆南大门扭糖酒吧公交地铁7号线理工大学站下车，共享单车骑行10分钟（最快）180、342、1013路至东郊记忆北大门站下车72、313路至SM广场公交站下车"
"【成都】艺术乐园天空之境沉浸式展览","时间：2019.10.23-12.31","场馆：成都市 | 成都悠方购物中心一楼中庭","项目介绍 艺术乐园天空之境沉浸式展览以蓝色为灵感主题，打造了9个沉浸式艺术场景，在蓝色世界里开始一场艺术party，在泳池里狂欢，度假屋里享受色彩的美妙，彩虹画廊里欣赏艺术画作，梦境屋里暂时逃离现实世界，享受片刻的自由与宁静，在秘密房间里与自己对话。三面白墙的涂鸦教室将我们拉回到了学生时代，解不来的数学题，背不完的课文,坐在熟悉的课桌上翻着旧课本，仿佛回到了当年的校园时光。用粉笔在墙上涂鸦，找回那些被偷掉的美术课时光。在月夜屋里感受蓝色与星辰。静谧房间里聆听海的耳语。【No.1 Movie Wall | 电影墙】由灯光与幕布打造而成的电影背景墙BLUE，邀请大家进入Blue Wonderland世界，探寻一场关于蓝色的艺术梦境。【No.2 Movie Wall | 电影墙】以蓝色为主题的派对屋，泳池、镜面、泳圈...在色彩世界里尽情玩耍~ 【No.3 Vacation Room | 度假屋】与法国艺术家合作的度假屋，艺术作品、装置、和画里的元素以蓝色为主题的派对屋，泳池、镜面、泳圈...在色彩世界里尽情玩耍~ 【No.4 Rainbow Gallery | 彩虹画廊】彩虹画廊是与三位插画艺术家合作的色彩隧道，通过镜面无限空间讲述艺术色彩的故事。【No.5 Dreamland | 梦境】BLUE是色彩，也是情绪。在梦境屋里暂时逃离浮躁的现实世界，享受片刻的宁静与自由。【No.6 Your Name | 你的名字】  我们曾在过去的梦境里相遇    我们将在未来的现世中相逢 【No.7 Graffiti Classroom | 涂鸦教室】由三面白墙组成的涂鸦教室，解不来的数学题，背不完的课文,坐在熟悉的课桌上翻着旧课本，仿佛回到了当年的校园时光。用粉笔在墙上涂鸦，找回那些被偷掉的美术课时光。【No.8 Moonlight | 月夜】梵高用蓝色和黄色创作了《罗纳河上的星夜》（Starry Night Over the Rhone），用蓝色谱写了色彩和情绪的乐章。【No.9 Quiet Room | 静谧】波光粼粼的静谧之屋，聆听着大海的耳语，在蓝色的世界回归最真的自己。"
"【成都】画匠之梦-《你，我的缪斯》沉浸式光影艺术展成都站","时间：2019.10.01-2020.01.31","场馆：成都市 | 成都市成华区完美世界文创产业园5号仓","项目介绍 画 · 匠 · 之 · 梦《你我的缪斯》----------------MUSE----------------从梵高到马蒂斯天才色彩的光影跃动：从梵高到马蒂斯的百年经典来袭展览聚集了梵高、雷诺阿、卡耶博特、克里姆特、马蒂斯五位西方艺术大师的经典作品，采用最先进的数码技术，以全新的沉浸式体验与你相约。一、展览信息：展览名称：画匠之梦-《你，我的缪斯》沉浸式光影艺术展成都站展览时间：2019年10月1日-2020年1月31日具体地址：成都市成华区二仙桥西路32号（地铁7号线C出口对面） 完美文创公园5#仓营业时间：10:00-21:00（20:00停止入场）展览票价：早鸟票：49元/位线上：平日票88元/位， 周末及节假日票98元/位 现场：平日票98元/位， 周末及节假日票108元/位 80cm以下儿童及70岁以上（含70岁）老人（凭有效证件），免票入场，但需至少1名家人陪同入场（家人需正常购票）。二、展览介绍：1.本次展览以""神话中的艺术之神--缪斯""为主题。""缪斯""作为艺术家的灵感来源，在他们的笔下时而化作秀丽的风景，时而化作绚烂的色彩，时而幻化成恋人，时而充溢于人类幸福亦或悲伤的情感之中，时而藏匿于不断变化的每一瞬间。2.展览采用最先进的数码技术，以全新的沉浸式体验带你走入梵高、雷诺阿、卡耶博特、克里姆特、马蒂斯这五位西方艺术大师的经典作品。3.展览分为""阿尔勒1888""、雷诺阿与""都市的庆典""、卡耶博特与""孤独的漫步者""、""吻，两个人的宇宙""以及""亨利的剪刀""等展出单元，选取大众所熟知的西方画坛巨匠，梵高、雷诺阿、克里姆特、马蒂斯和卡耶博特，结合充满趣味的叙事，将艺术与技术相结合，通过极具联觉性的空间演绎及技术性的互动方式，构成兼具娱乐性及教育性的展览内容，给观众带来一场视觉、听觉及触觉的全方位体验式艺术盛宴。三、展览内容画匠之梦-《你，我的缪斯》沉浸式光影艺术展成都站是继韩国首尔、北京798、郑州海汇中心之后全球第四站，成都站展览共分为14个房间，其中梵高作品5个房间、雷诺阿作品1个房间、卡耶博特作品1个房间、克里姆特作品1个房间、马蒂斯作品3个房间、儿童画室1个房间、拍照区及花房各1个房间。其中包含FLOWERS、BEDROOM、儿童画室互动空间3个。另有赞助品牌展示区2处、衍生品及售卖区1处、品牌联动区域1处。四、展览亮点：★来完美文创公园，观""画匠之梦--你，我的缪斯""展览，享一场视觉、听觉及触觉的全方位体验式艺术盛宴！★成为梵高！ 成为马蒂斯！邀请你成为大师的缪斯，一同走进""灵感的瞬间""走进""唯有绘画""的空间！★展览采用先进的数码技术，以全新的沉浸式体验带你走入梵高、雷诺阿、卡耶博特、克里姆特、马蒂斯这五位西方艺术大师的经典作品。★以""神话中的艺术之神--缪斯""为主题，分为阿尔勒1888、巴黎！至美，至伤、吻，两个人的宇宙以及亨利的剪刀等单元展出。★从平面到立体，从简单的视觉欣赏到三维的多观感受，从静止无声的形式感到多元化的媒体触碰……超唯美体验★现场通过全新的科技方式与艺术互动，通过眼睛、大脑、指尖走进大师的灵感瞬间，激发艺术启蒙。"
"【成都】从街头到语言：2008年以来的西南行为艺术&相机人的明暗室","时间：2019.11.23-2020.02.23","场馆：成都市 | 成都市麓湖艺展中心","项目介绍 *所有票务不再享受其他任何优惠政策                                                                           *场内不设洗手间及母婴房。*场内可以拍照禁止使用闪光灯，禁止录像、禁止触摸展品                                                                                            *请勿在观展过程中大声喧哗、饮食、吸烟、乱扔垃圾、随地吐痰及大小便。                                                               *场内禁止携带带轮子可移动行李，婴儿车及易燃易爆、长柄雨伞、道具等危险物品进场。                                            *场内设施较多，请照看好同行小孩及老人，以免发生意外。                                                                                         *注意公共安全，如突发事件，请听从展馆工作人员指挥。                                                                                           *如在观展过程中损坏展馆内展品、设备或物资，主办方有权根据其价值照价索赔，同时保留追究法律责任的权利。      *请保管好随身物品，如有丢失，责任自负。*麓湖·A4美术馆所有信息调整，以现场公告为准，恕不另行通知。 *票务有效期以及展览内容最终解释权归麓湖·A4美术馆所有。购票优惠政策：免票：1.3米以下儿童（1.3米以下儿童需至少一名成人陪同，均需购票），军人、70岁以上老人和残疾人需凭有效证件登记后入场展馆开放时间：每周一闭馆，每周二免票。节假日正常开放。开放时间：10：00-18：00，17：30停止入场。场馆地址：成都天府新区天府大道南延线麓湖艺展中心麓湖·A4美术馆    展讯：从街头到语言：2008年以来的西南行为艺术From Streets to Methodology: Performance Art in Southwest Area of China Since 2008艺术总监：孙莉策展人：蓝庆伟策展助理：唐逸翔Artistic Director: Sunny SunCurator: Lan QingweiExhibition Assistant: Tang Yixiang艺术家：何利平、和丽斌、胡佳艺、童文敏、王彦鑫、幸鑫、周斌Artist: He Liping, He Libin, Hu Jiayi, Tong Wenmin, Wang Yanxin, Xing Xin, Zhou Bin主办：麓湖·A4美术馆 Organizer: LUXELAKES·A4 Art Museum展览时间：2019年11月23日——2020年2月23日Duration: From November 23, 2019 to February 23, 2020地点：麓湖·A4美术馆一楼展厅Venue: Exhibition hall of the first floor, LUXELAKES·A4 Art Museum	2019年，麓湖·A4美术馆特别邀请独立策展人蓝庆伟作为策展人，推出关于西南艺术生态研究的新展“从街头到语言——2008年以来的西南行为艺术”。这是继2017年“回路——2000年以来的西南影像实验”之后A4美术馆进一步探讨中国腹地的多样性艺术生态的研究与展览项目。本次展览将通过系统梳理西南行为艺术发展的历史脉络，以艺术家的行为实验以及工作转向为切入点，集中性地呈现2008年以来部分活跃于西南地区的行为艺术家：何利平、和丽斌、胡佳艺、童文敏、王彦鑫、幸鑫、周斌的代表性作品及文献。	展览现场将通过文献梳理、艺术家作品、体验空间这三部分完成。值得一提的是，本次参与展览的行为艺术家还将特别呈现邀请公众参与的“互动行为空间”，通过行为语言的对话，身体体验以及演示，让更多公众从新的角度认知行为艺术。相机人的明暗室The Dark and Bright Room of CAMERAer艺术总监：孙莉策展人：野村浩展览统筹：蔡丽媛策展助理：沈劲风Artistic Director: Sunny SunCurator: Nomura Hiroshi Exhibition Coordinator: Cai LiyuanExhibition Assistant: Shen Jingfeng艺术家：阿斗、陈萧伊、陈哲、野村浩、骆丹、李俊、张晓Artist: A Dou, Chen Xiaoyi, Chen Zhe, Nomura Hiroshi, Luo Dan, Li Jun, Zhang Xiao横滨市相机及摄影收藏The Collection of Camera and Photography of the Yokohama City主办：麓湖·A4美术馆协办：横滨市民画廊蓟野Organizer: LUXELAKES·A4 Art MuseumCo-organizer: Yokohama Civic Art Gallery Azamino展览时间：2019年11月23日——2020年2月23日Duration: From November 23, 2019 to February 23, 2020地点：麓湖·A4美术馆二楼展厅Venue: Exhibition hall of the second floor, LUXELAKES·A4 Art Museum展览“相机人的明暗室”由艺术家野村浩（Nomura Hiroshi）客座策展，囊括日本横滨市民画廊蓟野所拥有的部分横滨市相机与摄影收藏，同时加入了包括阿斗、陈萧伊、陈哲、李俊，骆丹和张晓六位中国艺术家，还有他自己的作品。野村浩通过自己的艺术创作来揭示摄影的本质，这些作品模糊了现实与虚幻的界线。2018年，在曾经发布于社交网络上的三帧漫画《关于摄影》（On Photography）的基础上，野村浩发行了一本漫画书——《CAMERAer-变成相机的人》。在这本漫画书中，角色们表达了关于摄影的各种想法和感受，这些情节不仅触动读者共情，也在读者群体中引起了不小轰动。在本次展览中，“CAMERAer”中的角色将带领观众们从野村浩的独特视角出发，探索属于他本人的趣味作品及各种老式相机、摄影作品和相关资料。本展览旨在促进来自不同国家、不同时期的作品之间的交流合作，希望用我们日常熟悉的语境，去阐述摄影作为媒介的各个方面以及它的无穷魅力。The guest curator, Nomura Hiroshi has been revealing the nature of photography through his own artworks that blur the line between reality and fiction, such as the ""Doppelopment"" series in which his only daughter is photographed with another daughter, who exists only in a photograph by using the composite technique. In 2018, he published a comic book “CAMERAer - People who became cameras” based on the 3 frame comic “On Photography” that he had released on SNS, in which various thoughts and feelings about photography were conveyed by the characters in the comic book that evoked sympathy and created sensations among the readers. In this exhibition, the characters from the ""CAMERAer"" will take the visitors through Nomura's playful works and historical cameras, photographs and related materials selected from the collection by Nomura's unique perspective. In addition, for this special version in China, the exhibition includes works by six contemporary Chinese artists, A Dou, Chen Xiaoyi, Chen Zhe, Li Jun, Luo Dan, and Zhang Xiao. Featuring important works from Camera and Photography Collection of Yokohama City as the main component, the exhibition facilitates collaborations among works from different countries and time periods. It aims to expose various aspects and charm of the medium of photography, that we are familiar with in the context of everyday life."
"【成都】“感性盛开”许燎源博物馆首届双年展","时间：2019.10.12-12.28","场馆：成都市 | 成都许燎源现代设计艺术博物馆","项目介绍 许燎源现代设计艺术博物馆2019""感性盛开""首届双年展于9月28日下午三点正式开幕，55位参展艺术家及团队到场，共计300余件艺术作品悉数亮相。本届双年展由许燎源现代设计艺术博物馆主办，中国·东盟艺术学院、四川省雕塑协会、四川省雕塑学会、ACG国际艺术教育、成都国际版权交易中心、中国创意管理联盟、无一物文化传播有限公司协办，四川省对外文化交流中心、成都市锦江区委员会宣传部、成都市锦江区文化体育和旅游局为指导单位。此次展览筹备341天，策展团队10人，批评家8位。展览位于博物馆全域空间，展陈面积7000平方米，室内室外皆落有参展艺术品，包含展厅及生活空间。在55位参展艺术家中，特邀艺术家15名，外国艺术家2名，青年艺术家35名，艺术机构3家，最年轻的艺术家仅16岁，而最年长的艺术家已66岁。最小展品仅23.1毫米，最大展品有4米。首届双年展是一场全媒介艺术自由生长的盛宴，展览的四个主题部分，""断裂与并置--关于我们的理想生活""""影响--数字时代的视觉想象""""心象无际--装置与雕塑""""突破定义--架上实验艺术""包含了绘画、雕塑、设计、装置、影像多方位艺术作品。发现成都本土艺术设计力量为本次展览的核心。博物馆运营公益性艺术设计人才培养项目多年，于每年召集成都优秀的青年艺术家及设计师交流学习，使得博物馆平台已集结大批有创造力、有作品的本土青年人才。此次双年展他们带着自己两年内全新的作品与大家见面，把成都青年艺术设计的力量一一呈现。同时，展览邀请数十位成都大咖级艺术家及国外艺术家参展，许燎源先生及其带领的朴素堂艺术家们也参与其中。2019许燎源博物馆首届双年展将是未来的一个开端，今后每两年成为固定展览，要求参展艺术家们只能展出两年内的新作品。通过这种模式，增进艺术家、设计师们的创作动力，而平台也向大众提供源源不断的艺术力量，使得成都成为当代艺术的发展中心。本届双年展将展至2019年12月28日。"
"【成都】城·视","时间：2019.10.01-12.31","场馆：成都市 | 中国(成都)新视觉影像艺术中心","项目介绍 数字空间！未来都市！基因清洗！情绪改造！赛博朋克风城市影像特展这个国庆邀你体验一次极致的城际穿越、感受一场来往现实与虚拟的炸裂派对！一、展览信息展览名称：城·视展览时间：2019年10月1日-12月31日展览地址：东郊记忆5号楼·中国（成都）新视觉影像艺术中心营业时间：每日9：30-18：00，每周一闭馆展览票价：50元/人二、展览介绍1.本次展览邀请了超人气摄影师陈宇辰（YouKnowCYC）、茶壶头动画、TURIYA·K2，3位年轻艺术家/艺术团队用3种截然不同的创作方式和艺术语言，为观者呈现了不仅限于现实世界的记录，而是同虚拟世界相结合的别样城市风光。以艺术的眼光解锁看似单调乏味的生活，直观地呈现出城市的丰富、多姿与包容。2.展厅将根据展出内容进行区域划分，从赛博之都到静谧之城，从酷炫艺术到街头文化，在同一""城·视""主题之下，打造容纳多元感官的潮人街区。三、展览亮点1.【奇妙撞城之旅】本次展览将展出3位不同领域艺术家共计90余件/组作品。试图以细腻、独到的艺术体验，冲破单调乏味的感官打造一座赛博朋克之城，致敬70年来的城市发展，为城市生活注入酷炫、新鲜及未来之感。2.【超视觉互动体验空间】本次展览将为观众带来一场超视觉的互动体验之旅，你所get到的，将远远超出想象，分分钟拍出时尚大片！你想要的霓虹灯装置、炫酷烟雾装置、潮人涂鸦墙、主题置景、影像放映等，这里统统都有，你未曾体验过的网红拍照打卡专用PVC透明雨衣/雨伞、LED扇子、赛博朋克护目镜及寻找隐形彩蛋游戏等，这里也为你备好。这是一场可观、可玩、可嗨翻全场的展览，期待在视觉盛宴之外，让你的多重感官都能有惊喜的发现。3.【超人气摄影师首展】参展艺术家陈宇辰（YouKnowCYC）是""INS全球十大最值得关注的中国摄影师""作为一位城市风光摄影师，本次""城·视--城市影像特展""是陈宇辰作品落地首展。4.【跨界艺术新势力】陈宇辰除外，艺术团体茶壶头动画旗下的艺术IP草龟鲍勃、青年艺术家TURIYA·K2也将加入这场party！茶壶头动画是西南地区优秀的独立定格动画、青年文化活动记录的艺术团队。本次参展的定格动画作品虚拟了一个未来世界，聚焦城市和城市中的人文变迁。 艺术家TURIYA·K2曾于2016年底与香港著名建筑设计师朱竞翔共同参与WWF（世界自然保护基金会）的跨界合作，2019年5月受英超邀请参与""英超亚洲杯""赛事主题涂鸦艺术创作。"
"【成都】潜先森潜水---潜水体验［水肺］","时间：2019.11.15-2020.12.31","场馆：成都市 | 海昌极地海洋公园(鲨鱼池)潜水中心","项目介绍 注意事项购买前请仔细阅读购票成功后请致电预约：15198280314需至少提前一天预约-----使用时间：9：30-16:00（海昌公园16点后停止入园）地址：四川省成都市双流区天府新区天府大道海洋路68号海昌极地海洋公园（鲨鱼池）潜水中心注：因体验池位于海洋公园内，如单独购买体验潜水门票，需自行购买海洋公园门票才可入园体验。体验潜水（不含海洋公园门票）350元（原价380元）【购票成功提前预约】体验潜水（含海洋公园门票）510元（原价620元）【购票成功提前预约】双人体验潜水（不含海洋公园门票）680元（原价700元）【购票成功提前预约】双人体验潜水（含海洋公园门票）998元（原价1180元）【购票成功提前预约】持证潜水员潜水（不含海洋公园门票）210元（原价230元）【购买成功提前预约】持证潜水员潜水（含海洋公园门票）388元（原价470元）【购买成功提前预约】产品介绍在潜水中心的专业人士直接督导下学习潜水所需要的最基本知识，你都能够真正在水底呼吸。你将体会到穿戴水肺装备后在水中自由漂浮的感觉和轻松自由。使用的装备：你将免费使用到：配重系统：抵销多余的浮力调节器仪表：从潜水气瓶内提供源源不断的呼吸空气，并且监控气瓶内剩余气体BCD浮力背心：固定水肺气瓶，并控制自己身体的浮力。体验水下约30分钟，适用于年满6周岁以上人群购买步骤1、购票成功后请致电预约：15198280314；2、确定所有体验者姓名+身份证号码+订单号，备注预约时间；预约成功啦，体验当天带上身份证咱们海洋公园见Q&A您所关心的问题问：不会游泳可以体验潜水吗？答：可以的。潜水跟游泳完全是两个运动，在游泳的时候需要借助四肢的运动来带动身体的运动，并建立浮力飘在水面上，但是在潜水的时候我们拥有全套的水肺潜水装备，可以借助装备来完成上浮和下沉，并且在水中是可以呼吸的，并不需要依靠游泳的技能来换气。问：最小的小朋友几岁可以体验潜水？答：六岁以上问：年龄大的人可以体验潜水吗？答：只要身体健康，没有心脏病高血压就可以。问：我身上有伤口可以潜水吗？答：身上有小伤，只要伤口已经结痂没有出血是不影响的。问：我害怕鲨鱼怎么办答：我们鲨鱼池里面的鲨鱼性情比较温和，并且很多年以来每天都有很多潜水员下水，所以鲨鱼早已经习惯了人类。问：鲨鱼真的会咬人吗？答：鲨鱼其实是不会咬人的，因为鲨鱼的攻击性源于动物猎食的本能。但是人类是完全没有在鲨鱼的食谱上的，因为人肉的味道又咸又硬，而且人类是有”体味“的，而鲨鱼的嗅觉又非常的灵敏，所以当你一入水鲨鱼便知道你的到来，但是却会远远的游开。举个例子，你一个人在屋里面的时候突然有人向屋里面扔了一坨大便，但是你又无法离开这个屋子，难道你会主动上去尝一口吗。问：在潜水时候遇到危险怎么办答：体验潜水时全程都是有教练陪同并拉着的，我们的教练经过了非常严格的训练，可以保证遇到任何突发状况教练都可以准确冷静的处理并在第一时间带人回到水面上问：我不会潜水怎么办答：体验潜水是没有门槛任何人都可以参与的一个项目，并且体验潜水的教练会帮你准备好所有的潜水装备。在潜水开始之前教练也会经行简单的教学培训并在潜水的整个过程当中全程保护。问：我在体验潜水的时候可以拍照片视频留念吗？答：可以的，但是需要额外付费的。第一您可以购买我们的潜水摄影套餐，我们会有专业的摄影师为您拍摄非常精美的水下照片和视频，为您记录下最美好的瞬间。第二您可以购买现场的水下跟拍，价格和质量相对会低一点，教练会在你潜水的时候使用gopro水下相机使用自拍杆的方式做一个录像的记录。问：如果我缴费购买了，但是当天我突然有事去不了怎么办呐？答：如果当天零时有事的话在本月内是可以改期的，但是改期的话也任然是需要提前一天预定的。问：如果体验潜水时害怕没有下去怎么办？答：如果在体验潜水时害怕或者没有学会，在规定的时间内教练会一直耐心讲解并耐心鼓励完成体验潜水，但是如果因为个人原因例如害怕或者其他原因提前放弃体验的，是没办法退还任何费用的。下一场探险完成体验水肺潜水课程之后，你可能会想了解：PADI初级潜水员OW和PADI进阶潜水员AOW的课程学习与签证温馨提示：所有的潜水装备，潜水服，沐浴用品，毛巾，拖鞋等我们会帮您准备好，如果您是高度近视，建议您佩戴隐形眼镜。福利时间如果当你结束了体验课程后决定想更进一步、想要朝潜水证书迈进时，潜水中心将对您的这次体验课程费用进行抵扣——在教学学费（OW课程3800元）中减免此次体验活动费350元。赶快行动吧现场环境一览"
"【成都】成都威士忌嘉年年华 WHISKY FUN CHENGDU 2019","时间：2019.12.14-12.15","场馆：成都市 | 成都群光君悦酒店","项目介绍"
"【成都】第二届安仁双年展“共同的神话”","时间：2019.11.06-2020.02.12","场馆：成都市 | 安仁古镇华侨城创意文化园","项目介绍 第二届 安仁双年展展览时间：2019年10月13日-2020年2月12日开放时间：工作日10:00-17:00，周末及节假日10:00-17:30，开放截止时间前半小时停止入场，每周一闭馆。建议参观时间2.5小时-3小时，请合理安排观展时间。优惠政策：1．	身高1.2米（不含）以下儿童免费，需成人携带参观；身高1.2米以上需购买成人票。2．	70周岁（含）及以上凭身份证免费参观；3．	现役军人凭有效证件免费参观。主题阐释“共同的神话”A Confrontation of Ideals1405 至 1433 年，明代三宝太监郑和带领中国船队航行，从南京出发至婆罗洲以西洋面（即所谓“西洋”），拜访了 30 多个国家和地区，其中包括爪哇、苏门答腊、苏禄、彭亨、真腊、古里、暹罗、榜葛剌、阿丹、天方、左法尔、忽鲁谟斯、木骨都束等地，最远到达东非、红海。这是 15 世纪末欧洲地理大发现的航行以前人类史上规模最大的一系列海上探险。根据记载，参与探险的一次船只最多达 200 多艘，船员达 2.7 万人，史称“郑和下西洋”（Zheng He's Voyages），无论当初的主要目的是不是建立稳固的朝贡体系，探索（不意味着是征服，因为明代的主要对外思想是“不征”，这一点上与欧洲的探险船队不同）更多的人类空间与世界互通有无无疑是下西洋的目的之一。在宝船航行六十一年后的 1492 年，德国航海家马丁·贝海姆 (Martin Behaim) 与一位画家的合作， 制作出世界上第一个地球仪，即     Erdapfel（德语），意思是“地球苹果”。这个地球仪由两个亚麻半球组成，外围用木头加固，合作画家用手绘制地图覆盖其上。尽管该地球仪因哥伦布尚未回西班牙不包括美洲，并且也有不准确的地方，例如日本（古语 Cipango）画得比实际面积大并且位置往南偏离了不少，却构成了今天人们熟悉的地球概念：巨大的欧亚大陆、位于亚洲和欧洲之间的海洋以及圣布兰登岛。以后，欧洲人到达了亚洲，到达了中国和日本。人类进入了早期的全球化阶段。从16 世纪开始，葡萄牙人、荷兰人、西班牙人以及英国人陆续到达中国，到今天人类的网络全球化时代， 人类的文化与不同的文明发生了目不暇接并深刻的变化，但是，这完全不意味着人类已经进入了一个大同的世界。第二届安仁双年展借用东西方两个历史的隐喻，来表达全球化时代当代艺术的主题：在复杂而充满戏剧性冲突的时代，在这个时代，不同文明对世界的观望、相互之间的对话以及交流该如何进行？更多的问题是，什么是全球化时代崭新的宝船，以致将亚洲和其他区域的人们带往地球他乡；而什么样的新的地球仪能够建立人类全新的视野，理解人类文明的昨天、今天和未来？人类如何来建立一个可以共同面对未来挑战的文化共同体？“共同的神话”意味着建立人类文化共同体的理想、问题与努力！策展团队吕澎（策展人）1956 年出生于四川重庆，中国美术学院博士研究生毕业， 获博士学位。现为那特艺术大学校长，四川美术学院与西安美术学院教授。2009 年，53 届威尼斯双年展特别邀请展“给马可波罗的礼物”策展人（联合策展人阿基莱 · 伯尼托 · 奥利瓦（Achille Bonito Oliva） ）。何桂彦（策展人）美术学博士，现任教于四川美院美术学系，教授。现任四川美院美术学系系主任、中国批评家年会学术委员、中国雕塑学会理事、中国策展委员会委员、中国城市雕塑学会委员、重庆雕塑协会副会长。塞伯·泰德若（策展人）在过去的十八年，Siebe Tettero 活跃于国际当代艺术世界, 最近成功创立了一个设立于阿姆斯特丹、纽约、香港的咨询事务所，建立和管理艺术与设计收藏，并为国际专业私人客户和艺术家提供战后以及当代艺术的作品代理和项目委托服务。 国内艺术家名单：陈鸿志、陈界仁、陈彧君+陈彧凡、范勃、高世强、顾雄、管怀宾、何工、何剑、洪浩、焦兴涛、金江波、李昌龙、李勇政、刘家琨、刘建华、卢征远、缪晓春、庞海龙、佩恩恩、琴嘎、邱岸雄、邱志杰、任戎、师进滇+何多苓、宋振、孙海力、孙逊、谭勋、田晓磊、童昆鸟、王度、王广义、邬建安、吴达新、吴俊勇、忻海洲、徐冰、许毅博、许仲敏、羊磴艺术合作社、杨千、袁松、曾令香、张大力、张琪凯、张文智、张钊瀛+沈沐阳+姚瑶、钟飙、周庆辉、尹朝阳国际艺术家名单：Trevor Paglen 特雷弗·帕格伦Carlos Motta 卡洛斯·摩塔Sandow Birk/Elyse Pignolet 桑多伯克 和  爱丽丝·皮诺莱Cristina Lucas 克里斯提娜·卢卡斯Erkan Ozgen  尔坎·欧兹加Volkan Aslan  沃尔肯·阿斯兰Julika Rudelius 朱莉卡·路德琉斯Joep van Lieshout 乔珀·凡·利斯豪特Coco Fusco  可可·福斯科Dylan Mira  迪兰·米拉Kadir van Lohuizen 卡迪尔·范洛赫伊曾Chris Jordan  克里斯·乔丹Arash Nassiri 阿拉什·纳西里Oliviero Rainaldi 奥立仁·瑞纳迪Jasmina Llobet & Luis Fernández Pons嘉斯米娜·罗伯茨 和 路易斯·费尔南多·庞"
